"","sample","d13C","d15N","Concd13C","Concd15N","site","core","category"
"1","H001",-25.9010795599534,6.358537097625,0.0245049104599407,0.00321816729888733,"01","a","lacustrine"
"2","H002",-26.6707248596188,6.39676779191716,0.0243222842185831,0.00301623722552663,"01","b","lacustrine"
"3","H003",-26.7174522963296,6.38384437652425,0.024959642813558,0.00311785535122481,"01","c","lacustrine"
"4","H004",-25.1435998199141,6.584644188471,0.0243902504842426,0.00372322484775013,"02","a","lacustrine"
"5","H005",-25.6559262967201,6.08558939624336,0.0278368101822103,0.00366458232988139,"02","b","lacustrine"
"6","H006",-26.876522043783,5.74746887998882,0.028620681340018,0.00375601382957697,"02","c","lacustrine"
"7","H007",-26.1042941673958,6.12760734836908,0.0280856009420923,0.00351298278007189,"02","d","lacustrine"
"8","H008",-24.8974377037266,6.026191755569,0.0203299305462592,0.00295979491701094,"03","a","transitional"
"9","H009",-25.6171135111802,5.68574906764252,0.0246651691864439,0.00293739786981837,"03","b","transitional"
"10","H010",-25.7938783508059,5.54001416147154,0.0231009504138984,0.0026430648390533,"03","c","transitional"
"11","H011",-25.6327689021882,5.309061819852,0.0183855640674087,0.00201981045833485,"04","a","riverine"
"12","H014",-26.2968752392421,5.3838253597089,0.0183123718266732,0.00175282161757576,"04","b","riverine"
"13","H017",-26.4087396831665,5.35401917791704,0.0202009545593219,0.00192775179813479,"04","c","riverine"
"14","H020",-25.2101702463717,6.09927362296,0.0188293581312014,0.00290663058145306,"05","a","transitional"
"15","H021",-26.1528522062732,5.66003543412864,0.0232520280551194,0.00288473032676982,"05","b","transitional"
"16","H022",-26.0085041749075,5.80764405635214,0.0228619383221954,0.00282926419477778,"05","c","transitional"
"17","H023",-24.9843811460058,6.393499365433,0.0262171168999318,0.00408624311549673,"06","a","lacustrine"
"18","H024",-26.2590310352057,5.96957019840525,0.0289807957816879,0.0045132070878107,"06","b","lacustrine"
"19","H025",-27.2542469652605,5.81077614840672,0.0318500297344422,0.00451549629592199,"06","c","lacustrine"
"20","H026",-26.1189498343664,6.308857362156,0.0165865639612865,0.00263882186119099,"07","a","transitional"
"21","H027",-26.8396724174567,6.08632399377015,0.0205674355544355,0.00258223955347613,"07","b","transitional"
"22","H028",-26.6708751471852,6.30115119381041,0.0205175045934384,0.00259518464069852,"07","c","transitional"
"23","H029",-25.4282637533352,6.456751774952,0.0151811025576536,0.00260356159877286,"08","a","transitional"
"24","H030",-25.8968553822128,5.90310648200296,0.0215818200656747,0.0026966511917814,"08","b","transitional"
"25","H031",-25.8439856509729,5.67814108602546,0.0225892427161663,0.00277513051272101,"08","c","transitional"
"26","H032",-25.3649430910673,5.818881162269,0.020913586385923,0.00359573512356384,"09","a","transitional"
"27","H033",-26.1671125812694,5.62854776351221,0.0250872866231184,0.00329981623141375,"09","b","transitional"
"28","H034",-25.9273676304891,5.75083041186478,0.0262086437159628,0.0034095422475273,"09","c","transitional"
"29","H035",-24.9245791142051,5.6367134105975,0.0200845259230959,0.00250642892841063,"10","a","riverine"
"30","H036",-26.8215491914581,5.02916017043303,0.0232564537809174,0.00207008277966087,"10","b","riverine"
"31","H037",-26.8400406897338,5.08524168819835,0.023214475674985,0.00213834632077031,"10","c","riverine"
"32","H038",-25.0012500889566,6.4845518883205,0.0315060887176393,0.00450754550251628,"11","a","lacustrine"
"33","H039",-26.5035898059943,5.99303314335127,0.0329475714489871,0.00451733071553288,"11","b","lacustrine"
"34","H040",-27.2166392039179,6.24138756862758,0.03367752613539,0.00457948155241942,"11","c","lacustrine"
"35","H041",-24.832119011727,6.327051373044,0.0217229666608187,0.00352904238925814,"12","a","lacustrine"
"36","H042",-25.5936763503348,6.06838471224868,0.0265524444211393,0.00327256633789326,"12","b","lacustrine"
"37","H043",-25.7081620685647,5.97186739876257,0.0270998438486497,0.00330334278306096,"12","c","lacustrine"
"38","H044",-24.7713946240498,6.4588156691965,0.0201307464033536,0.00298716562848183,"13","a","lacustrine"
"39","H045",-25.7150319158236,6.1463447156618,0.0243053973486281,0.00282705864108082,"13","b","lacustrine"
"40","H046",-25.4646822381804,6.13951675839234,0.0243584628790724,0.00295435513376666,"13","c","lacustrine"
"41","H047",-25.2432796586548,5.717960866094,0.0219001853999373,0.00259869434536806,"14","a","riverine"
"42","H048",-26.1654307195068,5.62096263844998,0.0244873053060512,0.00250292327070584,"14","b","riverine"
"43","H049",-26.1084990943715,5.68924903578212,0.0246598334763969,0.0025116072455388,"14","c","riverine"
"44","H050",-25.1730411979859,5.755667346025,0.0175212120237632,0.0021634619215311,"15","a","riverine"
"45","H051",-25.4243124655124,5.56315497563429,0.0175373605955925,0.00182386754161928,"15","b","riverine"
"46","H052",-25.7337226937638,5.70681130543386,0.0219961337068209,0.00244330857929872,"15","c","riverine"
