OTU,Kingdom,Phylum,Class ,Order,Family,Genus,Species
Otu0030,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0031,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0032,Archaea(100),Euryarchaeota(100),Methanobacteria(100),Methanobacteriales(100),Methanobacteriaceae(100),Methanobacterium(100),
Otu0033,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0034,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Marine_Benthic_Group_D_and_DHVEG-1(100),Marine_Benthic_Group_D_and_DHVEG-1_unclassified(100),
Otu0035,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),ASC21(100),ASC21_unclassified(100),
Otu0036,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),WCHA1-57(100),WCHA1-57_unclassified(100),WCHA1-57_unclassified(100),
Otu0037,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0038,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Thermoplasmatales_Incertae_Sedis(100),Methanomassiliicoccus(100),
Otu0039,Archaea(100),Thaumarchaeota(100),Marine_Benthic_Group_B(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),
Otu0040,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0041,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0042,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0043,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanosarcinales(100),Methanosarcinaceae(100),Methanosarcina(100),
Otu0044,Archaea(100),Miscellaneous_Crenarchaeotic_Group(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),
Otu0045,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),AMOS1A-4113-D04(95),AMOS1A-4113-D04_unclassified(95),
Otu0046,Archaea(100),Euryarchaeota(100),Methanobacteria(100),Methanobacteriales(100),Methanobacteriaceae(100),Methanobacterium(100),
Otu0047,Archaea(100),Thaumarchaeota(100),Group_C3(100),Group_C3_unclassified(100),Group_C3_unclassified(100),Group_C3_unclassified(100),
Otu0048,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0049,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanoregulaceae(100),Methanoregula(100),
Otu0050,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Terrestrial_Miscellaneous_Gp(TMEG)(82),Terrestrial_Miscellaneous_Gp(TMEG)_unclassified(82),
Otu0051,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0052,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),ASC21(100),ASC21_unclassified(100),
Otu0053,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),AMOS1A-4113-D04(98),AMOS1A-4113-D04_unclassified(98),
Otu0054,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),WCHA1-57(100),WCHA1-57_unclassified(100),WCHA1-57_unclassified(100),
Otu0055,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0056,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0057,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanospirillaceae(100),Methanospirillum(100),
Otu0058,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0059,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0060,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0061,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanoregulaceae(100),Methanolinea(100),
Otu0062,Archaea(100),Crenarchaeota(100),Thermoprotei(100),Terrestrial_Miscellaneous_Gp(TMCG)(100),Terrestrial_Miscellaneous_Gp(TMCG)_unclassified(100),Terrestrial_Miscellaneous_Gp(TMCG)_unclassified(100),
Otu0063,Archaea(100),Thaumarchaeota(100),Marine_Benthic_Group_B(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),
Otu0064,Archaea(100),Euryarchaeota(100),Methanobacteria(100),Methanobacteriales(100),Methanobacteriaceae(100),Methanobacterium(100),
Otu0065,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0066,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0067,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0068,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0069,Archaea(100),Miscellaneous_Crenarchaeotic_Group(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),
Otu0070,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0071,Archaea(100),Thaumarchaeota(100),Marine_Benthic_Group_B(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),
Otu0072,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),CCA47(98),CCA47_unclassified(98),
Otu0073,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),CCA47(100),CCA47_unclassified(100),
Otu0074,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanosarcinales(100),Methanosaetaceae(100),Methanosaeta(100),
Otu0075,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0076,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),CCA47(100),CCA47_unclassified(100),
Otu0077,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Marine_Benthic_Group_D_and_DHVEG-1(100),Marine_Benthic_Group_D_and_DHVEG-1_unclassified(100),
Otu0078,Archaea(100),Miscellaneous_Crenarchaeotic_Group(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),
Otu0079,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0080,Archaea(100),Thaumarchaeota(100),Marine_Benthic_Group_B(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),
Otu0081,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0082,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0083,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
