OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0035,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,ASC21,ASC21_unclassified,
Otu0036,Archaea,Euryarchaeota,Thermoplasmata,WCHA1-57,WCHA1-57_unclassified,WCHA1-57_unclassified,
Otu0037,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0038,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmatales_Incertae_Sedis,Methanomassiliicoccus,
Otu0039,Archaea,Thaumarchaeota,Marine_Benthic_Group_B,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,
Otu0040,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0041,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0042,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0043,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
Otu0044,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0045,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,AMOS1A-4113-D0,AMOS1A-4113-D04_unclassifie,
Otu0046,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,
Otu0047,Archaea,Thaumarchaeota,Group_C3,Group_C3_unclassified,Group_C3_unclassified,Group_C3_unclassified,
