,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0031,0,2,0,18,0,2,0,0,0,1,34,5,24,0,0,4,0,0,0,0,2,0,0,2,4,0,3,1,0,53,7,120,0,0,0,3,1,1,1,1,0,0,5,2
Otu0032,0,14,2,4,3,0,0,0,0,0,19,3,11,2,0,0,9,0,0,0,3,0,0,0,0,2,0,0,0,77,11,70,0,0,0,0,0,0,1,0,2,0,0,0
Otu0033,0,6,0,67,0,0,1,0,0,9,31,10,19,7,5,0,0,0,0,0,0,0,0,0,0,0,4,2,2,33,25,70,1,0,0,0,0,0,1,1,0,1,4,11
Otu0034,6,56,7,44,0,1,5,0,1,2,0,0,0,3,11,0,4,0,17,10,16,0,5,0,2,0,2,0,0,16,2,11,1,4,0,0,2,1,0,0,0,0,0,0
Otu0035,7,43,0,37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,80,20,21,0,0,0,0,0,0,0,0,0,0,0,0
Otu0036,4,10,3,43,0,2,7,0,0,1,0,1,0,0,1,0,0,0,0,0,2,2,2,3,10,3,0,0,0,56,12,46,0,1,0,0,0,0,2,0,0,0,0,0
Otu0037,2,3,0,15,1,0,0,0,0,0,19,8,22,0,0,3,6,0,0,0,1,0,1,2,1,3,0,0,0,22,9,103,1,0,0,0,1,0,0,0,4,0,0,0
Otu0038,3,0,0,6,0,2,0,0,0,1,16,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,1,43,3,0,0,3,0,0,0,0,0,0,0,0
Otu0039,2,11,1,20,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12,77,0,0,0,0,0,1,0,0,0,0,0,0
Otu0040,1,31,5,35,0,0,0,0,1,2,0,0,0,3,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,42,10,35,0,0,0,0,0,0,0,0,0,0,0,0
